step_index,t_start_h,t_end_h,prediction_h,apply_h,nfe,mod_elapsed_s,predicted_end_h,applied_abs_time_h,propagation_mode,schedule_horizon_h,horizon_gap,final_ethanol_pred,ethanol_applied_pred,final_hold_up_pred,hold_up_applied_pred,productivity_pred,economic_metric,economic_metric2,git_commit,git_dirty,python_version,feasible_flag,schedule_feasible_flag,schedule_obj_value,drift_l2,drift_max_abs,drift_l2_avg,drift_max_abs_avg,drift_l2_cum,drift_max_abs_cum,drift_alert
0,0.0,3.0,6.0,3.0,2,0.3267788887023926,6.0,3.0,final,6.0,0.0,4.370922033856919,2.616411825050762,999.9997848238982,999.9998923943936,0.7284870056428199,0.07213727501692069,0.07213727501692069,38fe2f9,True,3.10.18,1,1,8.891483763814238e-08,7.014535988343524,4.670605589277983,7.014535988343524,4.670605589277983,7.014535988343524,4.670605589277983,
1,3.0,6.0,6.0,3.0,2,0.15229415893554688,9.0,6.0,final,6.0,0.0,6.252947591634214,5.552890328677522,999.9995695402985,999.9996771815993,1.0421579319390357,1.0509634428925074,1.0509634428925074,38fe2f9,True,3.10.18,1,1,6.168502233079232e-08,9.577828379620453,4.677414428301802,8.296182183981989,4.674010008789892,16.592364367963977,9.348020017579785,
2,6.0,9.0,6.0,3.0,2,0.15635943412780762,12.0,9.0,final,6.0,0.0,6.657960011598783,6.556559284217837,999.9993542929375,999.9994619170881,1.1096600019331306,1.3855197614059456,1.3855197614059456,38fe2f9,True,3.10.18,1,1,6.21233817850371e-08,9.100814221314577,4.307814102011619,8.56439286309285,4.551944706530468,25.693178589278553,13.655834119591404,
3,9.0,12.0,6.0,3.0,2,0.1724541187286377,15.0,12.0,final,6.0,0.0,6.696637575755619,6.688051064577717,999.9991390556822,999.9992466740988,1.1161062626259366,1.429350354859239,1.429350354859239,38fe2f9,True,3.10.18,1,1,5.387558559795834e-08,7.9510004729578565,4.831897156667637,8.87654769129763,4.6057085623270195,33.64417906223641,18.48773127625904,
4,12.0,15.0,6.0,3.0,2,0.1956021785736084,18.0,15.0,final,6.0,0.0,6.69974136614006,6.699059888855102,999.9989238147284,999.9990314352495,1.1166235610233433,1.4330199629517006,1.4330199629517006,38fe2f9,True,3.10.18,1,1,4.207002789575346e-08,7.970687655007016,4.88187579672325,8.340834116426484,4.673862351800835,41.61486671724343,23.36960707298229,
5,15.0,18.0,6.0,3.0,2,0.19190216064453125,21.0,18.0,final,6.0,0.0,6.699987693703786,6.699933285536507,999.9987085737694,999.998816194311,1.1166646156172977,1.4333110951788355,1.4333110951788355,38fe2f9,True,3.10.18,1,1,3.822765065913537e-08,6.4488893933475895,4.221920234874233,7.4568591737708205,4.64523106275504,48.06375611059102,27.591527307856524,
6,18.0,21.0,6.0,3.0,2,0.19292211532592773,24.0,21.0,final,6.0,0.0,6.700008442397774,6.700003488878529,999.9984933269982,999.9986009503845,1.1166680737329624,1.433334496292843,1.433334496292843,38fe2f9,True,3.10.18,1,1,4.1904793075010234e-08,6.816062709692824,4.501801098138543,7.0785465860158086,4.535199043245342,54.879818820283845,32.09332840599507,
7,21.0,24.0,6.0,3.0,2,0.23820972442626953,27.0,24.0,final,6.0,0.0,6.700011406611458,6.7000103518559015,999.9982780802367,999.9983857036232,1.1166685677685764,1.4333367839519673,1.4333367839519673,38fe2f9,True,3.10.18,1,1,4.732323270771852e-08,8.511508081525292,4.431088370821612,7.258820061521902,4.384936567944796,63.39132690180914,36.52441677681668,
0,0.0,3.0,6.0,3.0,2,0.3346445560455322,6.0,3.0,final,6.0,0.0,4.370922033856919,2.616411825050762,999.9997848238982,999.9998923943936,0.7284870056428199,0.07213727501692069,0.07213727501692069,38fe2f9,True,3.10.18,1,1,8.891483763814238e-08,8.309128620102616,4.476364056082829,8.309128620102616,4.476364056082829,8.309128620102616,4.476364056082829,
1,3.0,6.0,6.0,3.0,2,0.1552135944366455,9.0,6.0,final,6.0,0.0,6.252947591634214,5.552890328677522,999.9995695402985,999.9996771815993,1.0421579319390357,1.0509634428925074,1.0509634428925074,38fe2f9,True,3.10.18,1,1,6.168502233079232e-08,8.2682735612978,4.301231353936046,8.288701090700208,4.388797705009438,16.577402181400416,8.777595410018876,
2,6.0,9.0,6.0,3.0,2,0.16391229629516602,12.0,9.0,final,6.0,0.0,6.657960011598783,6.556559284217837,999.9993542929375,999.9994619170881,1.1096600019331306,1.3855197614059456,1.3855197614059456,38fe2f9,True,3.10.18,1,1,6.21233817850371e-08,5.445018440121582,3.0149672408298187,7.340806873840666,3.9308542169495646,22.022420621522,11.792562650848694,
3,9.0,12.0,6.0,3.0,2,0.16967105865478516,15.0,12.0,final,6.0,0.0,6.696637575755619,6.688051064577717,999.9991390556822,999.9992466740988,1.1161062626259366,1.429350354859239,1.429350354859239,38fe2f9,True,3.10.18,1,1,5.387558559795834e-08,6.996010761827139,4.681590002223956,6.903100921082174,3.999262865663274,29.01843138334914,16.47415265307265,
4,12.0,15.0,6.0,3.0,2,0.19967222213745117,18.0,15.0,final,6.0,0.0,6.69974136614006,6.699059888855102,999.9989238147284,999.9990314352495,1.1166235610233433,1.4330199629517006,1.4330199629517006,38fe2f9,True,3.10.18,1,1,4.207002789575346e-08,8.601450518463947,4.871713150351354,7.014159906804223,4.189423464468376,37.61988190181309,21.345865803424005,
5,15.0,18.0,6.0,3.0,2,0.2163527011871338,21.0,18.0,final,6.0,0.0,6.699987693703786,6.699933285536507,999.9987085737694,999.998816194311,1.1166646156172977,1.4333110951788355,1.4333110951788355,38fe2f9,True,3.10.18,1,1,3.822765065913537e-08,7.174187049947141,4.919583071406464,7.590549443412743,4.824295407993925,44.79406895176023,26.26544887483047,
6,18.0,21.0,6.0,3.0,2,0.23545384407043457,24.0,21.0,final,6.0,0.0,6.700008442397774,6.700003488878529,999.9984933269982,999.9986009503845,1.1166680737329624,1.433334496292843,1.433334496292843,38fe2f9,True,3.10.18,1,1,4.1904793075010234e-08,9.640090139799671,4.914394247893441,8.471909236070253,4.901896823217086,54.434159091559906,31.17984312272391,
7,21.0,24.0,6.0,3.0,2,0.20603561401367188,27.0,24.0,final,6.0,0.0,6.700011406611458,6.7000103518559015,999.9982780802367,999.9983857036232,1.1166685677685764,1.4333367839519673,1.4333367839519673,38fe2f9,True,3.10.18,1,1,4.732323270771852e-08,8.06151969283732,4.428414582274399,8.29193229419471,4.754130633858101,62.49567878439723,35.60825770499831,
0,0.0,3.0,6.0,3.0,2,0.4320802688598633,6.0,3.0,final,6.0,0.0,4.370922033856919,2.616411825050762,999.9997848238982,999.9998923943936,0.7284870056428199,0.07213727501692069,0.07213725949532493,958ae2e,True,3.10.18,1,1,8.891483763814238e-08,8.309128620102616,4.476364056082829,8.309128620102616,4.476364056082829,8.309128620102616,4.476364056082829,
1,3.0,6.0,6.0,3.0,2,0.20115232467651367,9.0,6.0,final,6.0,0.0,6.252947591634214,5.552890328677522,999.9995695402985,999.9996771815993,1.0421579319390357,1.0509634428925074,1.0509634343243799,958ae2e,True,3.10.18,1,1,6.168502233079232e-08,8.2682735612978,4.301231353936046,8.288701090700208,4.388797705009438,16.577402181400416,8.777595410018876,
2,6.0,9.0,6.0,3.0,2,0.36730337142944336,12.0,9.0,final,6.0,0.0,6.657960011598783,6.556559284217837,999.9993542929375,999.9994619170881,1.1096600019331306,1.3855197614059456,1.3855197528094283,958ae2e,True,3.10.18,1,1,6.21233817850371e-08,5.445018440121582,3.0149672408298187,7.340806873840666,3.9308542169495646,22.022420621522,11.792562650848694,
3,9.0,12.0,6.0,3.0,2,0.4169044494628906,15.0,12.0,final,6.0,0.0,6.696637575755619,6.688051064577717,999.9991390556822,999.9992466740988,1.1161062626259366,1.429350354859239,1.429350347123524,958ae2e,True,3.10.18,1,1,5.387558559795834e-08,6.996010761827139,4.681590002223956,6.903100921082174,3.999262865663274,29.01843138334914,16.47415265307265,
4,12.0,15.0,6.0,3.0,2,0.238494873046875,18.0,15.0,final,6.0,0.0,6.69974136614006,6.699059888855102,999.9989238147284,999.9990314352495,1.1166235610233433,1.4330199629517006,1.4330199565511696,958ae2e,True,3.10.18,1,1,4.207002789575346e-08,8.601450518463947,4.871713150351354,7.014159906804223,4.189423464468376,37.61988190181309,21.345865803424005,
5,15.0,18.0,6.0,3.0,2,0.2635495662689209,21.0,18.0,final,6.0,0.0,6.699987693703786,6.699933285536507,999.9987085737694,999.998816194311,1.1166646156172977,1.4333110951788355,1.4333110888665104,958ae2e,True,3.10.18,1,1,3.822765065913537e-08,7.174187049947141,4.919583071406464,7.590549443412743,4.824295407993925,44.79406895176023,26.26544887483047,
6,18.0,21.0,6.0,3.0,2,0.3262171745300293,24.0,21.0,final,6.0,0.0,6.700008442397774,6.700003488878529,999.9984933269982,999.9986009503845,1.1166680737329624,1.433334496292843,1.4333344894149846,958ae2e,True,3.10.18,1,1,4.1904793075010234e-08,9.640090139799671,4.914394247893441,8.471909236070253,4.901896823217086,54.434159091559906,31.17984312272391,
7,21.0,24.0,6.0,3.0,2,0.25858354568481445,27.0,24.0,final,6.0,0.0,6.700011406611458,6.7000103518559015,999.9982780802367,999.9983857036232,1.1166685677685764,1.4333367839519673,1.4333367754525943,958ae2e,True,3.10.18,1,1,4.732323270771852e-08,8.06151969283732,4.428414582274399,8.29193229419471,4.754130633858101,62.49567878439723,35.60825770499831,
0,0.0,3.0,6.0,3.0,2,0.3319258689880371,6.0,3.0,final,6.0,0.0,4.370922033856919,2.616411825050762,999.9997848238982,999.9998923943936,0.7284870056428199,0.07213727501692069,0.07213727501692069,958ae2e,True,3.10.18,1,1,8.891483763814238e-08,8.309128620102616,4.476364056082829,8.309128620102616,4.476364056082829,8.309128620102616,4.476364056082829,
1,3.0,6.0,6.0,3.0,2,0.1544189453125,9.0,6.0,final,6.0,0.0,6.252947591634214,5.552890328677522,999.9995695402985,999.9996771815993,1.0421579319390357,1.0509634428925074,1.0509634428925074,958ae2e,True,3.10.18,1,1,6.168502233079232e-08,8.2682735612978,4.301231353936046,8.288701090700208,4.388797705009438,16.577402181400416,8.777595410018876,
2,6.0,9.0,6.0,3.0,2,0.15877175331115723,12.0,9.0,final,6.0,0.0,6.657960011598783,6.556559284217837,999.9993542929375,999.9994619170881,1.1096600019331306,1.3855197614059456,1.3855197614059456,958ae2e,True,3.10.18,1,1,6.21233817850371e-08,5.445018440121582,3.0149672408298187,7.340806873840666,3.9308542169495646,22.022420621522,11.792562650848694,
3,9.0,12.0,6.0,3.0,2,0.17391419410705566,15.0,12.0,final,6.0,0.0,6.696637575755619,6.688051064577717,999.9991390556822,999.9992466740988,1.1161062626259366,1.429350354859239,1.429350354859239,958ae2e,True,3.10.18,1,1,5.387558559795834e-08,6.996010761827139,4.681590002223956,6.903100921082174,3.999262865663274,29.01843138334914,16.47415265307265,
4,12.0,15.0,6.0,3.0,2,0.19406986236572266,18.0,15.0,final,6.0,0.0,6.69974136614006,6.699059888855102,999.9989238147284,999.9990314352495,1.1166235610233433,1.4330199629517006,1.4330199629517006,958ae2e,True,3.10.18,1,1,4.207002789575346e-08,8.601450518463947,4.871713150351354,7.014159906804223,4.189423464468376,37.61988190181309,21.345865803424005,
5,15.0,18.0,6.0,3.0,2,0.19570183753967285,21.0,18.0,final,6.0,0.0,6.699987693703786,6.699933285536507,999.9987085737694,999.998816194311,1.1166646156172977,1.4333110951788355,1.4333110951788355,958ae2e,True,3.10.18,1,1,3.822765065913537e-08,7.174187049947141,4.919583071406464,7.590549443412743,4.824295407993925,44.79406895176023,26.26544887483047,
